ID;name
74e965ff-68c5-41dd-ad09-985245df0a88;Monocoat
e0f7621b-4f0d-46b0-987e-7a6f8d44859f;2C1B
be19ec2a-62d3-4026-a8bf-f23961076ccd;2C2B
29a2768e-5658-4906-95fa-002a07b0c10f;3C2B
4b59d91e-071b-4cde-935b-1ac196b1fc80;4C1B
c9ef3071-c975-4762-b444-2cada99441dc;4C2B
114f9162-7e2d-4b40-a601-7dbda9be3b12;5C2B
f4c9c867-87a4-4ce9-b064-868f3419cc90;3WET (1PH)
abfafccb-8f6e-4d45-8af4-d63494a57289;3WET (2PH)
bbe8a43c-adb6-4bc9-bd1a-66723fc94561;S/B 3WET
d83f0dbd-c32a-4c75-b4be-0e75f507aca1;2-Tone
b0309ed9-5794-4603-a37d-3aed6c129648;Interior
4b8da745-b06e-470c-82f7-16b91ffc8196;Others
