ID;name
55bc3e03-adee-433b-afce-c9626f7cdfe5;KPJ
2c789f3a-f05a-4a39-970b-376295b6d563;KNPL
558a338e-9a90-4295-b1a8-54ed6b2fae09;KPE
e5202fef-a5f2-4632-9ca9-9c3c278e4db2;KABS
2832088a-696c-4f5f-a271-342993c2d2b4;SKP
0d66e279-6f57-4a1b-a782-ffd27b56c75e;KPIN
4dae4665-3694-4e84-8e22-62b6d4b0ef40;TKP
499859e8-0ef0-4f87-9d51-6332d41885fe;KPPI
e0a4fc3c-7f21-4f1d-9807-0bfe7ea6ca4f;TWK
5bd9c89a-0e62-48f1-a753-0328c14a686a;KPSY
c20e7032-64d2-438a-9402-dbc72f799d2b;TJKP
fb4fd56a-8d01-4e70-b3ec-b04492017321;CQKP
82757896-4880-4173-8a8b-50c86b7d41a3;HKP
9e6993ba-a48d-4fe4-93c1-e20d1d5eaaf5;GZKP
307126a9-b6be-4479-a463-1de576c3e7bd;KNPI
6d72ece9-4ab3-4fca-b536-164a3636f271;KPME
2c430ac4-4f29-4b0a-b075-e86534c4bd36;KPPL
8f9cbee2-64d4-4396-b224-7cda00deb6e4;KDK
ab20d2e7-b232-4889-88e4-91dcfc50161b;KPAL
fc842edd-b1b3-4f4d-97a8-829ecb4fe7db;KPP
e8086118-e082-4376-bd10-a9f8777ab3f4;PKAF USA
3a02f3ca-38ab-4074-8a52-8c91579e73d8;PKAF EU
8321a0c8-0834-49ca-8e90-8b6b53fb4418;Others
